attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class
28,39,33,27,39,100,57,36,45,100,100,43,51,73,75,48,100,53,53,100,a11
28,40,34,27,39,100,100,37,46,100,100,43,52,75,77,49,100,54,55,100,a11
29,42,38,28,38,100,100,36,43,100,100,41,47,75,76,44,100,58,59,90,a11
30,49,41,29,39,100,100,37,44,100,100,42,49,100,100,46,100,60,61,100,a11
30,44,40,29,38,100,100,37,43,100,100,42,48,73,73,46,100,57,58,100,a11
30,48,41,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
30,44,40,29,38,100,100,37,43,100,100,42,48,73,73,46,100,57,58,100,a11
30,48,41,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
32,100,35,28,49,100,54,36,52,100,100,42,56,86,88,47,100,68,100,100,a11
27,49,31,26,51,100,100,36,54,100,100,43,61,93,95,51,65,55,65,65,a11
29,36,40,29,37,51,90,38,42,100,100,43,48,86,88,49,65,69,86,66,a11
29,36,39,28,37,54,100,37,43,100,100,43,49,88,94,49,100,73,100,100,a11
29,36,35,28,37,52,50,36,43,100,100,42,49,83,86,47,100,61,88,90,a11
29,36,35,28,37,51,50,36,43,100,100,42,48,88,100,48,100,64,100,100,a11
29,100,29,23,39,100,40,28,44,100,44,30,48,91,47,29,62,73,60,21,a11
29,100,30,23,39,100,41,29,44,100,46,31,48,92,49,30,66,76,68,23,a11
29,42,39,29,38,100,75,37,44,100,100,42,49,84,85,47,70,69,74,65,a11
31,90,49,30,40,100,100,39,46,100,100,44,53,89,91,51,100,79,100,100,a11
30,47,39,28,39,100,100,37,44,100,100,42,49,75,76,46,100,58,59,100,a11
31,75,41,29,40,100,100,37,45,100,100,42,50,76,77,46,100,59,60,100,a11
29,44,39,28,38,100,90,36,43,100,100,40,47,74,75,44,100,58,59,48,a11
30,46,41,28,38,100,100,36,43,100,100,41,48,75,76,44,100,59,60,68,a11
30,100,31,24,40,100,41,29,45,100,45,31,48,79,49,30,100,61,100,23,a11
31,100,31,24,40,100,42,30,45,100,47,33,48,81,65,32,100,63,100,24,a11
27,31,30,26,38,100,50,34,45,100,100,40,53,94,100,45,65,56,65,65,a11
27,32,31,26,39,100,52,35,46,100,100,41,53,97,100,47,65,60,65,65,a11
25,27,27,25,35,50,48,34,42,100,100,40,49,87,100,46,47,49,49,46,a11
25,28,28,25,35,51,49,34,43,100,100,41,50,90,100,48,47,49,49,46,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
27,31,48,26,37,100,100,39,44,100,100,46,50,73,74,68,100,53,52,100,a11
27,31,43,26,37,100,100,38,44,100,100,45,53,75,76,52,65,51,51,65,a11
29,38,48,29,37,50,100,38,42,100,100,43,47,71,71,47,90,57,57,100,a11
29,39,53,29,37,56,100,38,43,100,100,43,47,73,73,47,100,58,59,100,a11
28,36,75,28,37,100,100,38,43,100,100,44,49,72,73,48,100,55,56,100,a11
29,38,100,28,38,100,100,39,44,100,100,45,49,73,74,49,100,55,56,100,a11
29,44,41,28,38,100,100,37,43,100,100,42,48,76,76,46,100,59,60,100,a11
30,50,44,29,39,100,100,38,44,100,100,43,48,100,100,47,100,61,62,100,a11
29,37,35,28,37,75,49,35,43,100,100,41,49,83,87,46,100,61,92,64,a11
29,40,37,29,38,100,51,36,44,100,100,42,49,89,100,46,100,70,98,60,a11
29,50,36,26,38,100,48,33,43,100,100,37,47,77,91,38,100,59,65,32,a11
30,55,37,27,39,100,49,34,44,100,100,38,47,78,100,39,100,60,66,33,a11
29,100,31,24,39,100,42,29,45,100,47,32,49,88,51,31,63,67,100,23,a11
29,100,31,24,39,100,43,30,45,100,48,33,49,90,53,33,65,71,100,25,a11
30,40,37,29,38,75,49,36,43,100,100,41,47,77,80,45,59,60,65,53,a11
30,42,39,29,38,100,51,37,44,100,100,42,48,78,92,46,90,61,67,58,a11
30,40,41,29,37,52,55,37,43,100,100,42,47,88,87,46,62,79,74,57,a11
30,41,42,29,38,90,100,37,44,100,100,43,49,89,100,47,100,90,79,65,a11
28,36,100,28,37,56,100,39,44,100,100,46,100,100,100,53,100,54,56,75,a11
28,36,100,28,37,58,100,39,45,100,100,46,100,100,100,53,100,54,56,90,a11
31,100,36,27,40,100,48,34,45,100,100,38,48,76,100,39,100,59,65,33,a11
