attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class
22,19,58,8,19,22,8,58,58,40,28,48,40,56,48,28,99,99,95,95,a11
22,16,58,6,16,22,6,58,56,38,28,51,38,56,51,27,100,100,79,79,a11
23,21,58,13,21,23,11,58,58,39,30,51,40,58,51,30,101,101,85,87,a11
22,17,56,6,16,22,6,56,56,39,25,51,38,56,51,26,101,102,82,80,a11
23,21,58,11,20,23,10,58,56,39,29,51,38,56,51,29,102,103,83,81,a11
22,17,56,6,16,22,6,56,56,39,25,51,38,56,51,26,101,102,82,80,a11
23,21,58,11,20,23,10,58,56,39,29,51,38,56,51,29,102,103,83,81,a11
25,42,55,20,14,18,3,55,56,39,30,48,39,56,48,30,99,103,92,96,a11
25,40,58,25,16,23,9,58,58,38,33,46,38,58,46,33,98,102,98,98,a11
10,8,56,1,17,20,7,58,58,42,33,50,39,56,50,27,101,101,101,89,a11
13,9,58,1,18,20,8,58,58,40,33,48,40,58,48,31,101,99,97,96,a11
13,9,55,1,9,15,1,58,58,40,31,48,39,56,48,26,98,97,96,90,a11
11,8,61,1,10,17,1,61,61,40,31,48,39,56,48,26,98,97,96,90,a11
26,28,61,13,0,0,0,61,61,13,2,36,36,61,49,29,95,86,72,85,a11
26,31,61,17,1,0,0,61,61,15,6,39,37,61,50,30,96,87,77,88,a11
17,14,55,3,16,20,6,56,56,41,31,51,39,56,51,29,101,102,98,91,a11
24,24,58,14,28,26,15,58,58,41,36,51,41,58,51,36,104,104,102,102,a11
23,21,58,11,17,22,6,58,56,39,28,51,39,56,51,28,101,101,83,83,a11
24,24,58,15,20,23,10,58,58,39,30,51,40,56,51,30,103,103,85,89,a11
20,17,56,6,16,20,6,56,56,37,26,50,37,56,51,26,100,100,78,78,a11
23,20,58,10,20,22,7,58,56,38,28,51,38,56,51,28,102,102,79,80,a11
27,34,61,19,2,3,0,61,61,16,16,39,36,61,50,29,97,89,70,86,a11
27,34,61,19,3,4,0,61,61,21,22,42,36,61,50,30,97,91,74,88,a11
20,15,61,6,10,13,1,61,61,37,24,46,39,61,47,31,97,95,83,100,a11
20,16,61,7,12,17,2,61,61,38,28,46,41,61,47,33,98,97,91,102,a11
6,8,50,0,8,8,1,58,58,38,28,45,34,53,45,27,91,91,89,89,a11
11,8,55,1,9,12,1,61,61,39,32,46,38,56,45,28,93,93,95,90,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
20,11,58,2,28,30,16,56,61,40,28,48,40,61,48,26,99,96,97,95,a11
22,12,61,3,28,29,16,61,61,38,27,46,40,61,47,28,99,96,93,96,a11
11,9,61,1,28,24,13,61,61,39,24,35,39,61,40,23,103,101,80,78,a11
17,10,61,1,28,26,16,61,61,40,28,42,40,61,45,25,103,101,82,82,a11
18,10,61,1,28,28,16,61,61,39,26,43,40,61,43,23,101,98,88,91,a11
20,11,61,2,31,30,18,61,61,40,28,46,40,61,44,25,102,99,94,92,a11
22,20,58,9,20,23,10,58,58,38,29,51,38,58,51,28,100,100,83,80,a11
23,24,58,13,24,24,13,58,58,39,31,51,38,58,51,32,102,103,89,86,a11
15,9,55,1,9,15,1,58,58,39,28,48,39,54,48,26,96,98,90,90,a11
17,11,55,1,11,17,1,61,61,41,30,51,41,56,51,30,101,101,94,97,a11
23,24,56,11,11,12,1,58,58,30,25,48,37,56,50,28,100,96,77,85,a11
23,24,58,13,12,15,1,58,58,33,28,48,37,56,50,28,100,97,79,86,a11
26,28,61,13,2,3,0,61,61,17,12,40,38,61,50,29,97,88,73,86,a11
26,28,61,15,3,4,0,61,61,20,19,44,38,61,51,31,98,91,79,87,a11
15,11,53,1,9,13,1,58,58,38,28,47,38,58,43,25,97,99,72,77,a11
18,15,55,2,11,17,1,58,61,41,29,48,40,61,45,27,102,103,88,86,a11
12,8,55,1,16,18,3,58,58,40,29,51,38,56,51,28,101,102,87,81,a11
17,11,58,1,20,20,7,58,58,40,30,51,41,58,51,31,104,102,91,98,a11
7,9,58,0,31,31,18,58,58,39,31,46,39,58,48,30,100,98,97,92,a11
12,12,58,1,33,31,20,58,58,39,32,46,40,58,48,32,102,98,97,96,a11
26,28,56,15,12,13,1,58,58,32,26,48,38,56,51,29,101,96,76,87,a11
26,32,56,18,14,15,2,58,58,32,28,48,38,56,51,30,101,97,78,88,a11
26,32,58,18,32,28,18,58,58,38,34,51,38,58,51,32,103,103,88,89,a11
28,32,58,18,34,28,19,58,58,39,34,51,38,58,51,34,103,104,90,90,a11
32,37,61,21,14,13,2,61,61,29,26,47,40,61,51,33,102,96,80,92,a11
33,39,61,22,16,15,3,61,61,31,28,48,40,61,51,34,102,97,84,94,a11
30,34,58,19,34,30,19,58,58,40,34,51,40,58,51,34,104,104,92,92,a11
32,37,58,21,37,30,21,61,61,40,35,51,40,58,51,35,104,104,92,93,a11
23,28,58,14,28,24,14,58,58,38,32,51,38,56,51,30,102,102,84,86,a11
26,32,58,18,28,26,16,58,58,38,33,51,38,58,51,32,102,103,86,89,a11
28,34,56,19,11,11,1,61,61,26,25,45,38,56,51,31,101,94,78,90,a11
28,37,61,21,16,13,2,61,61,28,26,47,38,61,51,33,101,95,82,90,a11
13,9,55,1,9,15,1,58,58,40,31,48,39,56,48,26,98,97,96,90,a11
17,10,58,1,10,17,1,58,58,40,31,48,40,56,48,29,99,99,96,96,a11
25,28,56,14,12,13,1,58,58,32,28,48,37,56,51,29,100,96,76,87,a11
28,34,58,19,34,28,19,58,58,38,34,51,38,58,51,32,103,103,90,89,a11
11,11,61,0,42,22,22,61,61,1,5,11,47,61,50,26,109,72,88,110,a11
14,11,61,0,41,22,22,61,61,1,7,12,49,61,50,31,109,71,90,112,a11
8,7,51,1,12,17,2,58,58,40,30,45,36,58,42,24,99,99,92,86,a11
15,11,55,1,11,17,1,58,58,40,31,48,39,56,48,28,98,99,92,90,a11
23,24,58,13,21,23,11,58,58,40,30,51,39,56,51,30,103,103,88,83,a11
24,24,58,14,24,24,15,58,58,40,32,51,40,58,51,32,103,103,91,91,a11
15,10,55,1,11,15,1,58,58,40,30,50,40,56,50,31,100,99,94,97,a11
17,11,55,1,12,19,3,58,58,40,31,47,40,56,47,31,97,97,96,96,a11
23,17,58,7,14,21,4,58,58,40,27,51,40,56,51,28,101,101,84,84,a11
27,22,58,14,19,24,13,58,58,40,27,48,40,58,48,28,98,99,95,95,a11
35,43,57,26,0,0,0,0,8,0,0,19,37,57,51,32,97,83,70,92,a11
35,43,57,26,0,0,0,0,12,0,0,20,37,57,51,34,97,83,73,92,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
22,17,58,7,17,22,7,58,56,38,28,51,38,56,51,28,101,101,79,79,a11
27,28,58,16,31,27,18,58,58,39,32,50,39,58,50,32,102,102,91,93,a11
32,36,58,22,0,0,0,0,12,1,1,28,38,57,51,33,95,84,72,90,a11
32,37,61,23,0,0,0,0,43,8,1,28,38,61,51,33,96,84,76,91,a11
13,9,53,1,11,15,1,58,58,41,28,50,41,56,50,27,100,99,90,93,a11
18,10,54,1,9,11,1,58,58,40,31,48,40,56,48,29,97,98,94,94,a11
22,18,56,10,11,15,1,58,58,33,25,48,36,56,50,26,98,95,76,79,a11
23,21,58,11,14,18,3,58,58,33,25,47,36,56,49,26,99,96,78,82,a11
28,34,61,19,2,3,0,61,61,15,16,36,37,61,49,27,95,87,70,87,a11
