,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class_a11,class_a12,class_a13,class_a14,class_a15,class_a16,class_a17,class_a18,class_a19,class_a20,class_a21,class_a22,class_a23,class_a24,class_a25,class_a26,class_a27,class_a28,class_a29,class_a30,class_a31,class_a32,class_a33,class_a34,class_a35,class_a36
32,30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,29,39,37,28,38,100,50,36,43,100,100,42,49,88,91,46,90,72,95,61,29,39,37,28,38,100,50,36,43,100,100,42,49,88,91,46,90,72,95,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,29,38,35,28,38,100,49,36,44,100,100,41,50,89,100,46,100,67,100,63,29,38,35,28,38,100,49,36,44,100,100,41,50,89,100,46,100,67,100,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,30,51,42,29,39,100,100,37,44,100,100,42,49,100,100,46,100,60,61,100,30,51,42,29,39,100,100,37,44,100,100,42,49,100,100,46,100,60,61,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,29,100,64,28,41,100,100,38,47,100,100,44,100,100,100,49,100,70,100,100,29,100,64,28,41,100,100,38,47,100,100,44,100,100,100,49,100,70,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,31,100,52,29,41,100,100,39,46,100,100,44,75,100,100,49,100,64,68,100,31,100,52,29,41,100,100,39,46,100,100,44,75,100,100,49,100,64,68,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,31,100,52,29,41,100,100,39,46,100,100,44,75,100,100,49,100,64,68,100,31,100,52,29,41,100,100,39,46,100,100,44,75,100,100,49,100,64,68,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,37,100,29,22,48,100,40,28,50,100,44,30,53,100,46,29,100,100,46,22,37,100,29,22,48,100,40,28,50,100,44,30,53,100,46,29,100,100,46,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,37,100,30,23,48,100,41,28,51,100,45,31,53,100,47,29,100,100,65,22,37,100,30,23,48,100,41,28,51,100,45,31,53,100,47,29,100,100,65,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,29,44,41,28,38,100,100,37,43,100,100,42,48,100,100,46,100,59,59,100,29,44,41,28,38,100,100,37,43,100,100,42,48,100,100,46,100,59,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,29,100,90,29,41,100,100,39,46,100,100,45,90,100,100,49,100,59,61,100,29,100,90,29,41,100,100,39,46,100,100,45,90,100,100,49,100,59,61,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,29,100,36,26,39,100,49,33,44,100,100,38,47,100,100,39,100,61,67,32,29,100,36,26,39,100,49,33,44,100,100,38,47,100,100,39,100,61,67,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,30,100,39,26,40,100,68,34,45,100,100,38,48,100,100,39,100,64,100,33,30,100,39,26,40,100,68,34,45,100,100,38,48,100,100,39,100,64,100,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,30,41,51,25,39,100,100,34,44,100,100,37,50,100,100,36,100,60,100,27,30,41,51,25,39,100,100,34,44,100,100,37,50,100,100,36,100,60,100,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,31,42,100,27,39,100,100,36,45,100,100,38,50,100,100,38,100,62,100,30,31,42,100,27,39,100,100,36,45,100,100,38,50,100,100,38,100,62,100,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,30,37,100,29,37,50,100,39,43,100,100,43,49,100,100,44,100,58,63,41,30,37,100,29,37,50,100,39,43,100,100,43,49,100,100,44,100,58,63,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,30,38,100,31,38,50,100,41,43,100,100,44,49,100,100,46,100,60,64,48,30,38,100,31,38,50,100,41,43,100,100,44,49,100,100,46,100,60,64,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,30,42,38,29,39,100,54,37,45,100,100,43,51,83,87,48,100,62,100,100,30,42,38,29,39,100,54,37,45,100,100,43,51,83,87,48,100,62,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,28,38,34,27,38,100,100,36,45,100,100,43,52,83,100,49,100,56,100,100,28,38,34,27,38,100,100,36,45,100,100,43,52,83,100,49,100,56,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,29,38,38,29,37,52,51,36,43,100,100,42,48,91,100,47,65,78,100,63,29,38,38,29,37,52,51,36,43,100,100,42,48,91,100,47,65,78,100,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,29,38,38,29,38,52,52,37,43,100,100,42,49,100,100,48,67,70,100,66,29,38,38,29,38,52,52,37,43,100,100,42,49,100,100,48,67,70,100,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,27,34,35,26,38,100,100,37,46,100,100,44,52,91,100,50,65,53,65,65,27,34,35,26,38,100,100,37,46,100,100,44,52,91,100,50,65,53,65,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,27,34,35,26,38,100,100,37,46,100,100,44,52,91,100,50,65,53,65,65,27,34,35,26,38,100,100,37,46,100,100,44,52,91,100,50,65,53,65,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,31,47,28,22,41,100,36,26,46,100,41,28,49,100,43,27,60,88,42,20,31,47,28,22,41,100,36,26,46,100,41,28,49,100,43,27,60,88,42,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,30,100,30,24,40,100,41,29,45,100,46,32,48,100,50,31,60,77,90,23,30,100,30,24,40,100,41,29,45,100,46,32,48,100,50,31,60,77,90,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,34,35,24,19,46,46,31,22,49,49,34,24,52,52,33,22,96,100,25,18,34,35,24,19,46,46,31,22,49,49,34,24,52,52,33,22,96,100,25,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,34,37,24,19,46,48,31,23,49,50,34,24,53,68,33,22,100,100,24,18,34,37,24,19,46,48,31,23,49,50,34,24,53,68,33,22,100,100,24,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,28,36,34,28,37,53,51,36,43,100,100,42,49,83,86,47,100,60,84,100,28,36,34,28,37,53,51,36,43,100,100,42,49,83,86,47,100,60,84,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,28,35,34,27,37,100,52,36,44,100,100,42,50,85,100,48,100,58,100,100,28,35,34,27,37,100,52,36,44,100,100,42,50,85,100,48,100,58,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,30,44,40,29,39,100,90,37,45,100,100,43,51,84,87,48,100,65,96,90,30,44,40,29,39,100,90,37,45,100,100,43,51,84,87,48,100,65,96,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,29,50,41,28,39,100,100,38,46,100,100,44,55,90,100,51,100,74,100,100,29,50,41,28,39,100,100,38,46,100,100,44,55,90,100,51,100,74,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,28,33,32,27,36,50,49,35,43,100,100,41,49,100,100,47,56,52,65,65,28,33,32,27,36,50,49,35,43,100,100,41,49,100,100,47,56,52,65,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,28,33,32,27,36,90,56,35,43,100,100,41,50,100,100,48,59,52,65,65,28,33,32,27,36,90,56,35,43,100,100,41,50,100,100,48,59,52,65,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,30,48,41,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,30,48,41,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,29,68,39,28,39,100,100,37,45,100,100,42,50,100,100,46,100,58,59,100,29,68,39,28,39,100,100,37,45,100,100,42,50,100,100,46,100,58,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,30,48,41,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,30,48,41,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
